STATION,year,month,PRCP_sum,TMAX_mean,TMIN_mean,TMEAN,ym
USW00093134,2011,7,0.0,80.6774193548387,63.516129032258064,72.09677419354838,2011-07-01
USW00093134,2011,8,0.0,81.6774193548387,62.774193548387096,72.2258064516129,2011-08-01
USW00093134,2011,9,0.0,79.1,62.0,70.55,2011-09-01
USW00093134,2011,10,1.17,76.70967741935483,57.354838709677416,67.03225806451613,2011-10-01
USW00093134,2011,11,1.58,69.23333333333333,51.0,60.11666666666667,2011-11-01
USW00093134,2011,12,1.01,65.70967741935483,43.67741935483871,54.693548387096776,2011-12-01
USW00093134,2012,1,1.3,70.58064516129032,47.54838709677419,59.064516129032256,2012-01-01
USW00093134,2012,2,0.16,67.06896551724138,48.03448275862069,57.55172413793103,2012-02-01
USW00093134,2012,3,1.75,67.3225806451613,49.16129032258065,58.24193548387097,2012-03-01
USW00093134,2012,4,1.71,72.46666666666667,52.733333333333334,62.6,2012-04-01
USW00093134,2012,5,0.01,73.19354838709677,57.74193548387097,65.46774193548387,2012-05-01
USW00093134,2012,6,0.0,75.7,60.3,68.0,2012-06-01
USW00093134,2012,7,0.01,79.41935483870968,61.61290322580645,70.51612903225806,2012-07-01
USW00093134,2012,8,0.0,86.3225806451613,66.90322580645162,76.61290322580645,2012-08-01
USW00093134,2012,9,0.0,86.73333333333333,65.86666666666666,76.3,2012-09-01
USW00093134,2012,10,0.02,81.12903225806451,61.193548387096776,71.16129032258064,2012-10-01
USW00093134,2012,11,1.03,73.03333333333333,53.63333333333333,63.333333333333336,2012-11-01
USW00093134,2012,12,2.16,64.25806451612904,49.03225806451613,56.645161290322584,2012-12-01
USW00093134,2013,1,1.18,68.06451612903226,45.25806451612903,56.66129032258065,2013-01-01
USW00093134,2013,2,0.19999999999999998,68.03571428571429,46.785714285714285,57.410714285714285,2013-02-01
USW00093134,2013,3,0.54,71.51612903225806,52.38709677419355,61.95161290322581,2013-03-01
USW00093134,2013,4,0.0,72.4,55.5,63.95,2013-04-01
USW00093134,2013,5,0.71,76.48387096774194,60.193548387096776,68.33870967741936,2013-05-01
USW00093134,2013,6,0.0,78.0,62.56666666666667,70.28333333333333,2013-06-01
USW00093134,2013,7,0.09,80.7741935483871,64.03225806451613,72.40322580645162,2013-07-01
USW00093134,2013,8,0.0,81.83870967741936,63.193548387096776,72.51612903225806,2013-08-01
USW00093134,2013,9,0.0,83.63333333333334,63.46666666666667,73.55,2013-09-01
USW00093134,2013,10,0.06,77.19354838709677,57.096774193548384,67.14516129032258,2013-10-01
USW00093134,2013,11,0.62,74.46666666666667,54.266666666666666,64.36666666666666,2013-11-01
USW00093134,2013,12,0.2,70.83870967741936,46.935483870967744,58.88709677419355,2013-12-01
USW00093134,2014,1,0.0,74.41935483870968,50.12903225806452,62.274193548387096,2014-01-01
USW00093134,2014,2,3.58,70.5,51.964285714285715,61.232142857142854,2014-02-01
USW00093134,2014,3,1.18,72.54838709677419,54.87096774193548,63.70967741935484,2014-03-01
USW00093134,2014,4,0.35,74.56666666666666,55.3,64.93333333333334,2014-04-01
USW00093134,2014,5,0.0,80.03225806451613,60.903225806451616,70.46774193548387,2014-05-01
USW00093134,2014,6,0.0,76.73333333333333,61.166666666666664,68.95,2014-06-01
USW00093134,2014,7,0.0,84.09677419354838,66.38709677419355,75.24193548387096,2014-07-01
USW00093134,2014,8,0.04,84.83870967741936,65.7741935483871,75.30645161290323,2014-08-01
USW00093134,2014,9,0.01,86.1,66.86666666666666,76.48333333333333,2014-09-01
USW00093134,2014,10,0.25,82.93548387096774,62.774193548387096,72.85483870967742,2014-10-01
USW00093134,2014,11,0.48,76.56666666666666,55.5,66.03333333333333,2014-11-01
USW00093134,2014,12,3.88,67.51612903225806,50.70967741935484,59.11290322580645,2014-12-01
USW00093134,2015,1,1.09,72.70967741935483,51.193548387096776,61.95161290322581,2015-01-01
USW00093134,2015,2,0.83,74.25,54.0,64.125,2015-02-01
USW00093134,2015,3,0.87,79.06451612903226,57.38709677419355,68.2258064516129,2015-03-01
USW00093134,2015,4,0.13,75.66666666666667,55.96666666666667,65.81666666666666,2015-04-01
USW00093134,2015,5,0.9299999999999999,71.45161290322581,56.83870967741935,64.14516129032258,2015-05-01
USW00093134,2015,6,0.01,79.13333333333334,62.0,70.56666666666666,2015-06-01
USW00093134,2015,7,0.38,81.64516129032258,65.64516129032258,73.64516129032258,2015-07-01
